Message Length(bits), Throughput (Octet/sec)
64, 311793.5926416712
128, 797607.1784646062
192, 887016.2989244928
256, 926945.1364347372
320, 952698.5185538037
384, 970677.4519716885
448, 983940.6824331448
512, 994128.4289664171
576, 918672.008574272
640, 1008738.1946108161
704, 998060.5868142586
768, 2604873.2837683833
832, 2653941.3581034527
896, 2697495.183044316
960, 2679468.5720665404
1024, 2716641.5518814865
1088, 2724577.2898469428
1152, 2756033.6082987236
1216, 2670649.213739787
1280, 2765869.1743880515
1344, 2791625.1246261215
1408, 2794582.3210911574
1472, 3371136.476063099
1536, 3882709.807886754
1600, 3897419.90802089
1664, 3911097.739836787
1728, 3890840.313428803
1792, 3935693.5781428446
1856, 3946920.721333787
1920, 3957326.82572922
1984, 3997034.458305129
2048, 4005507.5729127554
2112, 4013499.9543920457
2176, 3993481.2291700314
2240, 4001371.898936779
2304, 4008741.2830755957
2368, 4015791.8300343244
2432, 4022494.2110486277
2496, 4004723.520049289
2560, 4182569.1430961466
2624, 5492849.248082527
2688, 6488741.2614422
2752, 9103419.074838573
2816, 9315373.011882393
2880, 1.0153715978000283E7
2944, 2.0759293732724093E7
3008, 2.0666153677036386E7
3072, 2.110585907442014E7
3136, 2.1006376935855526E7
3200, 2.0912845715480734E7
3264, 2.082270082678371E7
3328, 2.1232072679018017E7
3392, 2.1136590229312062E7
3456, 2.1535393818544365E7
3520, 2.006749977196023E7
3584, 2.13404468156052E7
3648, 1.527331189710611E7
3712, 2.0721686316541623E7
3776, 2.4090236308885828E7
3840, 2.3928215353938185E7
3904, 2.4327018943170488E7
3968, 2.2149778948778637E7
4032, 2.400800266755585E7
4096, 2.438908207497737E7
4160, 2.2293676312968917E7
4224, 2.4603914259086672E7
4288, 2.4977864765366513E7
4352, 2.4810726990787193E7
4416, 2.4650560442995578E7
4480, 2.449800953672514E7
4544, 2.4847981101535503E7
4608, 2.4693475092171825E7
4672, 2.2760932262842E7
4736, 2.488231338264963E7
4800, 2.5218560860793546E7
4864, 2.2864879094430447E7
4928, 2.5392637783915248E7
4992, 2.52376137512639E7
5056, 2.556117290192113E7
5120, 2.540589893215831E7
5184, 2.4369147455906134E7
5248, 2.5111009033838615E7
5312, 2.5417240851324454E7
5376, 2.572248803827751E7
5440, 2.5572562145086683E7
5504, 2.587341581738182E7
5568, 2.572347266881029E7
5632, 2.5577677663130358E7
5696, 2.5868333091120478E7
5760, 2.33849751534639E7
5824, 2.600928903179707E7
5888, 2.586358365252838E7
5952, 2.5314732902347736E7
6016, 2.5586934331405237E7
6080, 2.545466724721171E7
6144, 2.6131337189520244E7
6208, 2.5991425509110395E7
6272, 2.585496158031857E7
6336, 2.357914793533597E7
6400, 2.5982461838259175E7
6464, 2.624313878333171E7
6528, 2.36371009790858E7
6592, 2.5975663577328037E7
6656, 2.5846536191363778E7
6720, 2.3692672194956843E7
6784, 2.634358496427462E7
