Message Length(bits), Throughput (Octet/sec)
64, 53926.525109538255
128, 797607.1784646062
192, 886983.5168896444
256, 939628.8466055908
320, 963414.3404224572
384, 989343.9412989261
448, 992081.0671957766
512, 1008731.8349462535
576, 1008728.301833924
640, 1020746.6761936356
704, 1025186.9801253524
768, 1923231.0281272538
832, 2685881.0464605773
896, 2697495.183044316
960, 2707642.3204494687
1024, 2743778.2684186837
1088, 2750252.780586451
1152, 2780835.409304212
1216, 2715206.945213555
1280, 2788379.4287307644
1344, 2813410.5904812943
1408, 3309328.1687757364
1472, 3866845.9986550105
1536, 3846384.999098503
1600, 3897419.90802089
1664, 3877052.6943652257
1728, 3923776.9986739084
1792, 3935762.729732579
1856, 3915810.0832109647
1920, 3476044.261630265
1984, 3967238.2902482725
2048, 3976451.948616785
2112, 3985206.430674013
2176, 3966344.4011840704
2240, 3974844.9100691336
2304, 3982906.692113015
2368, 4015791.8300343244
2432, 4022494.2110486277
2496, 3778520.5638715304
2560, 4035003.6567220637
2624, 5492941.235576842
2688, 5498011.879632812
2752, 9217577.706323687
2816, 9315126.495183656
2880, 9186720.08574272
2944, 2.0226448279652633E7
3008, 2.0667289616885614E7
3072, 2.0077381574819617E7
3136, 2.049566035762836E7
3200, 2.0912845715480734E7
3264, 2.08237635890369E7
3328, 2.073778664007976E7
3392, 2.0656728052226447E7
3456, 2.0578288000762157E7
3520, 1.813834611262264E7
3584, 1.3525344926486127E7
3648, 2.3272430335817087E7
3712, 2.368192721890471E7
3776, 2.4090236308885828E7
3840, 2.338383592341794E7
3904, 2.3773566522141572E7
3968, 2.416447432524603E7
4032, 2.4009146341463413E7
4096, 2.385945291020085E7
4160, 2.423112767940354E7
4224, 2.4080999726352274E7
4288, 2.4445863358569734E7
4352, 2.4810726990787193E7
4416, 2.4651661307609864E7
4480, 2.449800953672514E7
4544, 2.4350510160336107E7
4608, 2.4694533762057878E7
4672, 2.454606590450572E7
4736, 2.488231338264963E7
4800, 2.4266936299292214E7
4864, 2.4590495449949443E7
4928, 2.4914054600606672E7
4992, 2.477075145885435E7
5056, 2.4631693818692025E7
5120, 2.4068293783610996E7
5184, 2.136991722454902E7
5248, 2.0679002616398197E7
