Message Length(bits), Throughput (Octet/sec)
64, 714540.9074669526
128, 5714285.714285715
192, 6430868.167202572
256, 6859592.711682743
320, 7145409.074669525
384, 7349563.619660083
448, 7060900.26478376
512, 7621769.679647494
576, 7717041.800643086
640, 7794232.26812159
704, 7859949.982136478
768, 7621467.132422992
832, 7687758.72264932
896, 7744433.688286544
960, 8038046.7546386225
1024, 7839294.463498285
1088, 8098130.284625462
1152, 7914697.152907552
1216, 7946881.371882678
1280, 8165765.030111259
1344, 8184342.573196279
1408, 8201686.937881542
1472, 8049345.990638261
1536, 8069939.475453935
1600, 8088978.766430737
1664, 8256917.152951451
1728, 8123049.151968711
1792, 8138351.983723296
1856, 8288378.407345218
1920, 8166042.871725076
1984, 8178610.295815058
2048, 8190427.437931917
2112, 8201559.538972941
2176, 8212064.4888593685
2240, 8221752.407798919
2304, 8231393.620669944
2368, 8240305.114000168
2432, 8248765.39859988
2496, 8256807.896895757
2560, 8264462.809917355
2624, 8271548.897967419
2688, 8184541.933598031
2752, 8285163.776493256
2816, 8291522.389465997
2880, 8209431.724892821
2944, 8217036.95433739
3008, 8224331.773043441
3072, 8231334.805256051
3136, 8319538.180737723
3200, 8244532.844157717
3264, 8250758.341759352
3328, 8256753.269952166
3392, 8262530.205004287
3456, 8268100.82489617
3520, 8061265.618702136
3584, 8207834.084496721
3648, 8283679.697718355
3712, 8219954.648526077
3776, 7550550.294343486
3840, 1.1692202762282902E7
3904, 1.1622921926356405E7
3968, 1.1683784038443418E7
4032, 1.1743050863254037E7
4096, 1.167563623095868E7
4160, 1.1611030478955008E7
4224, 1.1789661717092777E7
4288, 1.1724047421147032E7
4352, 1.1661057640779406E7
4416, 1.171526805042659E7
4480, 964177.3673136985
4544, 6510998.773456217
4608, 1.0463595407644238E7
4672, 1.0608923121639296E7
4736, 1.0663784562730793E7
4800, 1.0629251700680273E7
4864, 1.1432439547215223E7
4928, 1.1383165480920263E7
4992, 1.1432340331977574E7
5056, 1.138431054669909E7
5120, 1.143245029563602E7
5184, 1.1385399279627515E7
5248, 1.1432355657796135E7
5312, 1.1386630997702096E7
5376, 1.1342346447921414E7
5440, 1.147737438182524E7
5504, 1.1344523958711209E7
5568, 1.138873889352511E7
5632, 1.1432468861137725E7
5696, 1.1305355753505137E7
5760, 1.1432382222645644E7
5824, 1.1474505477184962E7
5888, 1.1432476933113797E7
5952, 1.1391649186201407E7
6016, 1.1432393809480373E7
6080, 1.139242403801472E7
6144, 1.143248433243521E7
6208, 1.139316703616156E7
6272, 1.143240445047173E7
6336, 1.1471112205437193E7
6400, 1.1509135376204861E7
6464, 1.1470266740485214E7
6528, 1.1432414256893072E7
6592, 1.14694542265774E7
6656, 1.1506174888326487E7
6720, 1.1468829360203162E7
6784, 1.1504857003310358E7
6848, 1.1468074274537126E7
6912, 1.1432503241855664E7
6976, 1.1397500914936999E7
7040, 1.1502065143514402E7
7104, 1.146694214876033E7
7168, 1.1432362773368718E7
7232, 1.1398741599102221E7
7296, 1.1432296236869156E7
7360, 1.1465746083575318E7
7424, 1.1498525512353482E7
7488, 1.1399897693225829E7
7552, 1.1432446834277963E7
7616, 1.146449258782018E7
7680, 1.1496317585773308E7
7744, 1.1400977563158825E7
7808, 1.1432453643508919E7
7872, 1.146345441412894E7
7936, 1.1371321801529167E7
8000, 1.140211851361983E7
8064, 1.1372226045556596E7
8128, 1.1462481807822919E7
8192, 1.149218890285509E7
8256, 1.1462081833933093E7
8320, 1.1491331779057048E7
8384, 1.1461568747539263E7
8448, 1.1490500750799764E7
8512, 1.1461194592556687E7
8576, 1.1375815779699687E7
8640, 1.1460709927309386E7
8704, 1.1432414256893074E7
8768, 1.1460239452083442E7
8832, 1.1432358545273796E7
8896, 1.1459900653379228E7
8960, 1.1487061671162346E7
9024, 1.151408127226515E7
9088, 1.1486349848331647E7
9152, 1.1459136758386506E7
9216, 1.1432427604549153E7
9280, 1.1511819462914078E7
9344, 1.1484872024307024E7
9408, 1.1510678699371612E7
9472, 1.1484218898523735E7
9536, 1.1509679911166899E7
9600, 1.1483473367911348E7
9664, 1.1457730648480996E7
9728, 1.1482747549528793E7
9792, 1.1457348522432627E7
9856, 1.1482040671773938E7
9920, 1.1457082139887277E7
9984, 1.1481457629925389E7
10048, 1.1408225548612121E7
10112, 1.1480785125843575E7
10176, 1.140848102174069E7
10240, 6395746.828359142
10304, 5728059.486431437
10368, 1.0643977036605097E7
10432, 1.0668761147382718E7
10496, 1.0693443745313467E7
10560, 1.063726912290881E7
10624, 1.0701737420623409E7
10688, 1.0155371096719267E7
10752, 1.0709931389502035E7
10816, 1.0462533759470062E7
10880, 1.0678643498197978E7
10944, 1.054823039555864E7
11008, 1.0571929069731707E7
11072, 1.0671601511296168E7
11136, 1.0694776308611907E7
11200, 1.056691498916891E7
11264, 1.0589969614007642E7
11328, 1.0725403906895012E7
11392, 1.0710390733706893E7
11456, 1.0732862646340182E7
11520, 1.075517779653295E7
11584, 8299230.830954755
11648, 1.0688513518473657E7
11712, 1.0747241614729006E7
11776, 1.0517816695604952E7
11840, 1.0645950222989498E7
11904, 1.0739572582333114E7
11968, 1.0618514259756114E7
12032, 1.1473033793576932E7
12096, 1.073208125718666E7
12160, 1.0753220660332642E7
12224, 1.0703878054247927E7
12288, 1.0759919300605245E7
12352, 1.0745728503323242E7
12416, 1.0766413230478939E7
12480, 1.0752391717901355E7
12544, 1.0738475656944055E7
12608, 1.0758854209333442E7
12672, 1.0383548892487004E7
12736, 1.0664237292677047E7
12800, 1.0268587748291243E7
12864, 1.1413483241769942E7
12928, 1.1470266740485214E7
12992, 1.1376373010535754E7
13056, 1.1469856486231955E7
13120, 1.1488455503250392E7
13184, 1.1469534050179211E7
13248, 1.1487873910871856E7
13312, 1.1506174888326487E7
13376, 1.137794230729971E7
13440, 1.1468829360203162E7
13504, 8375841.057499553
13568, 6622051.117861577
13632, 1.068030536647738E7
13696, 1.0165667121904876E7
13760, 1.0749126633461032E7
13824, 1.0767696909272183E7
13888, 1.0723993081294786E7
13952, 1.0742488265802668E7
14016, 1.0760877576591406E7
14080, 1.0779095903331108E7
14144, 1.0766570043602172E7
14208, 1.0723925343123343E7
14272, 1.0741940533965968E7
14336, 9824238.237777267
14400, 1.14834001071784E7
14464, 1.1500248069510348E7
14528, 1.1449178508832764E7
14592, 1.1499615418563304E7
14656, 1.148258182593108E7
14720, 1.13994002924194E7
14784, 1.151545363908275E7
14848, 1.149845427567792E7
14912, 1.138355369629607E7
14976, 1.1530927771549653E7
15040, 1.1481266603560414E7
15104, 1.1464728350305745E7
15168, 1.1513377621783117E7
15232, 1.149675144313214E7
15296, 1.1512732045978673E7
15360, 1.1496248750082329E7
15424, 1.148008550520117E7
15488, 1.1495754408883084E7
15552, 1.1511336653303884E7
15616, 1.1495200518226253E7
15680, 1.1510656166129306E7
15744, 1.1526162279931122E7
15808, 1.1510053822316457E7
15872, 1.149418628229119E7
15936, 1.1478489357043251E7
16000, 1.020751885839109E7
16064, 1.1508812150737928E7
16128, 1.149320441484995E7
16192, 1.1508173418621179E7
16256, 1.1492692638342157E7
16320, 6167688.568007837
16384, 1.0707432987049654E7
16448, 1.0749258897155317E7
16512, 1.0764857746368686E7
16576, 1.0754195018399432E7
16640, 1.0769613122359373E7
16704, 1.075905992198651E7
16768, 1.0748662827370115E7
16832, 1.0763910205250988E7
16896, 1.0753509401683291E7
16960, 1.0768636853119858E7
17024, 1.0758287369629072E7
17088, 1.0359025592030922E7
17152, 1.1489509927386725E7
17216, 1.1503653692982879E7
17280, 1.1517665753074042E7
17344, 1.153166953894598E7
17408, 1.1517066535405982E7
17472, 1.1474445191661064E7
17536, 1.1488288968202807E7
17600, 1.1502125279057244E7
17664, 1.1515834272124171E7
17728, 1.1529536633333681E7
17792, 1.148748463342321E7
17856, 1.1446036450908195E7
17920, 1.1487120578868825E7
17984, 1.150060367937463E7
18048, 1.151402250746421E7
18112, 1.1527494908350306E7
18176, 1.1486291778100211E7
18240, 1.1499644418889679E7
18304, 1.1512934439675342E7
18368, 1.1499146078220237E7
18432, 1.1512344291046456E7
18496, 1.1498711865755524E7
18560, 1.1485205372303825E7
18624, 1.1524809528760044E7
18688, 1.0541896819379762E7
18752, 8196635.323162139
18816, 1.0704192020097667E7
18880, 6331457.14730296
18944, 1.0731490671126036E7
19008, 1.0745005110208659E7
19072, 1.0758462586814566E7
19136, 1.0771911969341481E7
19200, 1.1457870841150943E7
19264, 1.1521751612471052E7
19328, 1.1508598104129948E7
19392, 1.1521131580448298E7
19456, 1.150806795059859E7
19520, 1.1469992337669054E7
19584, 1.1507598869923707E7
19648, 1.1519969980534252E7
19712, 1.1532233153298201E7
19776, 1.151937370395396E7
19840, 1.1481800420382047E7
19904, 1.1518838486254247E7
19968, 1.1506174888326487E7
20032, 1.1518257173611047E7
20096, 1.1505677263920631E7
20160, 1.149320441484995E7
20224, 1.1432396009514937E7
20288, 1.1517169028988205E7
20352, 1.1504752946284018E7
20416, 1.1516661251308711E7
20480, 1.1504325356701493E7
20544, 1.1516108201191073E7
20608, 1.1432426195167847E7
20672, 1.1167341576306567E7
20736, 1.152727499132786E7
20800, 1.1491306384746617E7
20864, 4370947.278800403
20928, 9651605.095870396
20992, 8069947.748318505
21056, 1.068537419108632E7
21120, 1.0657322670628177E7
21184, 1.073003112033195E7
21248, 1.0762448132780083E7
21312, 1.0754207422179341E7
21376, 1.0766205718338009E7
21440, 1.0778202292378847E7
21504, 1.0363213675740903E7
21568, 1.022847126846702E7
21632, 1.0694129697962025E7
21696, 1.078548731551925E7
21760, 1.077731375454668E7
21824, 1.0769200402660718E7
21888, 1.0780906447265765E7
21952, 1.0675090547643038E7
22016, 1.1893391647831142E7
22080, 1.1880063015986433E7
22144, 1.1866790136159413E7
22208, 1.190113823926604E7
22272, 1.0469707795870783E7
22336, 1.1874736837628284E7
22400, 1.1885155440854372E7
22464, 1.1895583214010354E7
22528, 1.1882508323241359E7
22592, 1.1892829769134233E7
22656, 1.187984244107271E7
22720, 1.1890158381933657E7
22784, 1.1900384422530502E7
22848, 1.1887468626822557E7
22912, 1.1897640412097042E7
22976, 1.188485921904226E7
23040, 1.1894977263246585E7
23104, 1.1882230962921515E7
23168, 1.1824365706073053E7
23232, 1.17673755186722E7
23296, 1.1867114400286896E7
23360, 1.189966786885914E7
23424, 1.1909652594457619E7
23488, 1.1874620829120323E7
23552, 5584684.609489411
23616, 1.0546397719234314E7
23680, 1.0699787811640358E7
23744, 1.1463310069405554E7
23808, 1.0721465266919812E7
23872, 1.062530488999035E7
23936, 1.0311196884584898E7
24000, 1.071788386101048E7
24064, 1.0728603426875724E7
24128, 1.0757098579392452E7
24192, 1.0767696909272185E7
24256, 1.0689681918501751E7
24320, 1.077101321929287E7
24384, 1.0907568378071781E7
24448, 1.1492567061911691E7
24512, 1.1522652316000465E7
24576, 1.1512344291046454E7
24640, 1.152215958191021E7
24704, 1.1511907069682825E7
24768, 1.1422541810709001E7
24832, 1.1412771715151336E7
24896, 1.1521274744640127E7
24960, 1.1530956182366505E7
25024, 1.1520796732336681E7
25088, 1.1413015787519926E7
25152, 1.1520365837571636E7
25216, 1.151032898652868E7
25280, 9946709.559228562
25344, 1.0711097887533471E7
25408, 1.0772163319020195E7
25472, 1.0765230739061492E7
25536, 1.0674371476153214E7
25600, 1.0717898220159026E7
25664, 1.1037861792757953E7
25728, 1.1394598195146667E7
25792, 1.1460829132688247E7
25856, 1.1470266740485214E7
25920, 1.1460669387986107E7
25984, 1.1470060599211786E7
26048, 1.1460591895925436E7
26112, 1.1451104764978705E7
26176, 1.1479171198226202E7
26240, 1.1451034607959166E7
26304, 1.1478923885797275E7
26368, 1.1469494138239417E7
26432, 1.1478718858242687E7
26496, 1.1450817149949694E7
26560, 1.1478515814075703E7
26624, 1.1469138780714752E7
26688, 1.1478275230872983E7
26752, 1.1468983328131592E7
26816, 1.14597507025593E7
26880, 9140096.460660862
26944, 1.0695662667437296E7
27008, 1.0736957268436654E7
27072, 1.0730559580924718E7
27136, 1.0724199637046546E7
27200, 1.070212216787223E7
27264, 1.0711591651998995E7
27328, 1.0929031680114664E7
27392, 1.1468112684924992E7
27456, 1.1459136758386506E7
27520, 1.1450140297503935E7
27584, 1.1458994546342794E7
27648, 1.145007818919134E7
27712, 1.1476582999814468E7
27776, 1.1467639918748865E7
27840, 1.1476361333896158E7
27904, 1.1467497797240961E7
27968, 1.1458613298022274E7
28032, 1.1467319448626148E7
28096, 1.1389137512809537E7
28160, 1.1467142726834416E7
28224, 1.1458377314491535E7
28288, 1.1467004796295276E7
28352, 1.1475569083314445E7
28416, 9577325.035861041
28480, 1.0027745306536345E7
28544, 1.1466695804757651E7
28608, 1.0735901623594966E7
28672, 1.0729832166743508E7
28736, 1.0738800794049412E7
28800, 1.0732780595132682E7
28864, 1.0711921168810733E7
28928, 1.1449306107457563E7
28992, 1.0789342844468527E7
29056, 1.146605800587825E7
29120, 1.1474433134632299E7
29184, 1.1465929092280613E7
29248, 1.145747478007979E7
29312, 1.1465801307426797E7
29376, 1.1457384271682288E7
29440, 1.146563891338146E7
29504, 1.1457223363042999E7
29568, 1.1482112012724765E7
29632, 1.1473708665685743E7
29696, 1.14653537518764E7
29760, 1.14735137635901E7
29824, 1.143242663068478E7
29888, 1.0111617534021154E7
29952, 1.068648690305952E7
30016, 1.1424291234170567E7
30080, 1.0689440481707126E7
30144, 1.0712183972093737E7
30208, 1.0720724557443606E7
30272, 1.0729242573316963E7
30336, 1.0737677297684547E7
30400, 1.1822353581706462E7
30464, 1.1847205888758222E7
30528, 1.1820645860760475E7
30592, 1.1828316197122106E7
30656, 1.18359644056227E7
30720, 1.1843627110802684E7
30784, 1.1851267820789613E7
30848, 1.1841842610364683E7
30912, 1.1849453066781973E7
30976, 1.1823261778985618E7
31040, 1.1847690005801704E7
31104, 1.1838391342871845E7
31168, 1.176250369842583E7
31232, 1.1836651779894065E7
31296, 1.1827449842179734E7
31360, 8327862.86219299
31424, 1.0564592477838024E7
31488, 9322772.57740554
31552, 1.0607596911317369E7
31616, 1.0696229254403533E7
31680, 9870413.43572641
31744, 1.06321407901224E7
31808, 1.1333576575754812E7
31872, 1.1463098834700042E7
31936, 1.145536511106711E7
32000, 1.1401988506795585E7
32064, 1.1114438787394762E7
32128, 1.1194549904389178E7
32192, 1.184853659972911E7
32256, 1.1839566822198013E7
32320, 1.1830680703398393E7
32384, 1.1757700742117722E7
32448, 1.1845137098116634E7
32512, 1.1788218163254058E7
32576, 1.1843475327062573E7
32640, 1.1834628470983405E7
32704, 1.182582937017623E7
32768, 1.1817077639007896E7
32832, 1.18242610557129E7
32896, 1.1847276163695244E7
32960, 1.182267140721355E7
33024, 1.1845628050722703E7
33088, 1.1852700960022926E7
33152, 1.1843959266383333E7
33216, 9280638.736831753
33280, 1.05654818596264E7
33344, 1.0623574241400843E7
33408, 1.0720446890659656E7
33472, 1.0677037479361726E7
33536, 1.1360156527347572E7
33600, 1.0667073031353576E7
33664, 1.073828243622231E7
33728, 1.0733142906604346E7
33792, 1.0728027734389883E7
33856, 1.1842830638007315E7
33920, 1.1834319526627218E7
33984, 1.1764738464435762E7
34048, 1.1848123536731688E7
34112, 1.1839642811526436E7
34176, 1.1831205913387375E7
34240, 1.1792420339169847E7
34304, 1.184487849883844E7
34368, 1.185172106522033E7
34432, 1.1843339909909166E7
34496, 8845055.630312778
34560, 9840860.528581778
34624, 1.0737722203614803E7
34688, 1.0732726399635643E7
34752, 1.0727753617282946E7
34816, 1.0735155908899179E7
34880, 1.0730168261835793E7
34944, 1.0725256161252066E7
35008, 1.1843800409228206E7
35072, 1.1835533597905025E7
35136, 1.1842232983530883E7
35200, 1.1848915554933188E7
35264, 1.1840709153179774E7
35328, 1.177367666113887E7
35392, 1.1839165049842777E7
35456, 1.1845769787941476E7
35520, 1.1852421337561764E7
35584, 1.1814892927532844E7
35648, 1.1850811684857769E7
35712, 1.1842733591553032E7
35776, 1.0663029664300548E7
35840, 1.049531810418946E7
35904, 1.0653778316902429E7
35968, 1.0708331348544754E7
36032, 1.0679945462090224E7
36096, 1.0687080759464888E7
36160, 1.0753583536549099E7
36224, 1.1299294043664984E7
36288, 1.13855421686747E7
36352, 1.1849626569866901E7
36416, 1.1841677397536453E7
36480, 1.1833797429263217E7
36544, 1.1840209018050617E7
36608, 1.183233049850415E7
36672, 1.1867346674605845E7
36736, 1.1888057576306727E7
36800, 1.1894357420269018E7
36864, 1.190070350512908E7
36928, 1.0582592826946178E7
36992, 1.0952362905976428E7
37056, 1.0792422936228711E7
37120, 1.0775937146559713E7
37184, 1.07248008712747E7
37248, 1.1419321609888898E7
37312, 1.1901936616573397E7
37376, 1.1894033126104247E7
37440, 1.190028174171303E7
37504, 1.1892380048807465E7
37568, 1.1898608450647127E7
37632, 1.1904822161595814E7
37696, 1.1785892946473237E7
37760, 1.1903140714289317E7
37824, 1.1895327159235861E7
37888, 1.1901501006450836E7
37952, 1.1893688873734854E7
38016, 1.1899842988182796E7
38080, 1.0327350991078557E7
38144, 1.188437658119786E7
38208, 1.0787905619378475E7
38272, 1.0783226492836729E7
38336, 1.0778591270510701E7
38400, 1.0773975462270884E7
38464, 1.1901049015094135E7
38528, 1.1893384304980356E7
38592, 1.189944671519523E7
38656, 1.1905465870340804E7
38720, 1.1911471189744322E7
38784, 1.1903826510568084E7
