Message Length(bits), Throughput (Octet/sec)
64, 1429081.8149339051
128, 8574490.88960343
192, 1.0291595197255576E7
256, 8574490.88960343
320, 9526077.637532746
384, 9353078.721745908
448, 9234828.496042216
512, 1.0554089709762532E7
576, 5144694.533762057
640, 5196492.367651835
704, 9928917.973598104
768, 1.0289389067524115E7
832, 1.013348923316769E7
896, 1.043802423112768E7
960, 1.0288947955071595E7
1024, 9146123.615576992
1088, 1.041188179451845E7
1152, 1.0643802202675734E7
1216, 9309162.175404213
1280, 1.0717395672851497E7
1344, 1.0592018157745413E7
1408, 1.0479933309515303E7
1472, 1.0659869068999479E7
1536, 9353990.06138556
1600, 1.0718113612004288E7
1664, 1.0616036339509008E7
1728, 9260450.160771703
1792, 1.0438510648212872E7
1856, 1.081081081081081E7
1920, 1.0717634975215469E7
1984, 1.0631912886907313E7
2048, 1.0552784533575168E7
2112, 1.0479933309515303E7
2176, 1.060098214981682E7
2240, 1.0718113612004288E7
2304, 9645979.167364437
2368, 1.0574827623164589E7
2432, 1.0682784552131286E7
2496, 1.06158557332426E7
2560, 1.0553045542987172E7
2624, 5624721.336214288
2688, 1.043834850414738E7
2752, 1.053405193532582E7
2816, 1.0779029887310142E7
2880, 1.057113492879166E7
2944, 1.0806049038320364E7
3008, 1.0746541671430206E7
3072, 1.1758941695247428E7
3136, 1.1835034116297325E7
3200, 1.1745705476435179E7
3264, 1.18185504895429E7
3328, 1.1889450970304953E7
3392, 1.1652193030669453E7
3456, 1.187204572936133E7
3520, 1.1789609067281157E7
3584, 1.171119360066921E7
3648, 1.1776859504132232E7
3712, 7313421.073370636
3776, 1.1764999127595404E7
3840, 1.1826446891861925E7
3904, 1.1753654953153977E7
3968, 1.0423671822461331E7
4032, 1.1872232168095732E7
4096, 1.180131381813991E7
4160, 1.185806804706741E7
4224, 1.1789661717092777E7
4288, 1.0445085353495985E7
4352, 1.0411682520239621E7
4416, 8896625.084614642
4480, 1.1432304425935E7
4544, 1.1486349848331647E7
4608, 1.012053273359806E7
4672, 1.009559700589486E7
4736, 1.0071452875127593E7
4800, 1.0127095042786976E7
4864, 1.1432224583043452E7
4928, 1.1582648590715077E7
4992, 1.1530785719565379E7
5056, 1.1480680847971806E7
5120, 1.143245029563602E7
5184, 1.157535592433147E7
5248, 1.0116431490477294E7
5312, 1.009456049134969E7
5376, 1.1523819322975615E7
5440, 1.1477568105863687E7
5504, 1.152177917706362E7
5568, 1.156530408773679E7
5632, 1.0128039131060278E7
5696, 1.0107319289080687E7
5760, 1.0153859171614323E7
5824, 1.0133348180729937E7
5888, 1.1515834272124171E7
5952, 1.155656347566753E7
6016, 1.0138186720593192E7
6080, 1.1554015020219525E7
6144, 1.1512344291046454E7
6208, 1.020502097552636E7
6272, 1.1918878652436985E7
6336, 1.1955799770545257E7
6400, 1.0456422857740367E7
6464, 1.1862988357240386E7
6528, 1.0474026724171128E7
6592, 1.1934418631597243E7
6656, 1.0490877223952487E7
6720, 1.0408019130930403E7
6784, 1.1880744227751626E7
6848, 1.1915035772946188E7
6912, 1.18722088629337E7
6976, 1.1830466163781406E7
7040, 1.1863835524098415E7
7104, 1.1822974916120786E7
7168, 1.1929488203653406E7
7232, 1.0474601408972932E7
7296, 1.1848156520383507E7
7360, 1.1880011880011879E7
7424, 1.0469668422893375E7
7488, 1.0449927431059508E7
7552, 1.1903110696407631E7
7616, 1.0464988457733318E7
7680, 1.1964256782861201E7
7744, 1.1856932876041157E7
7808, 1.1954924056834886E7
7872, 1.1849853683209093E7
7936, 1.1946193957056323E7
8000, 1.1908731481922545E7
8064, 5686113.022778298
8128, 9150762.41342352
8192, 1.0759919300605247E7
8256, 1.0791028389188059E7
8320, 1.0717892697405033E7
8384, 1.0748607706587624E7
8448, 1.160835009728589E7
8512, 1.1519016120126883E7
8576, 1.0540909940117406E7
8640, 1.015381143996089E7
8704, 1.1545604074919086E7
8768, 1.1516476126429053E7
8832, 1.1543890834945366E7
8896, 1.1571159509266293E7
8960, 1.0129971147671463E7
9024, 1.0116954868336083E7
9088, 1.1326021934197407E7
9152, 1.1567239635995954E7
9216, 1.1539270581871726E7
9280, 1.1511705220955273E7
9344, 1.0136425174436769E7
9408, 1.0123879787536263E7
9472, 1.1536362927741835E7
9536, 1.1509568777397987E7
9600, 1.1534912334666258E7
9664, 1.0925897452131363E7
9728, 1.1688823523757342E7
9792, 1.1926104918543924E7
9856, 1.1895910780669145E7
9920, 1.0464664877546543E7
9984, 1.1942698016248958E7
10048, 1.0476007773598125E7
10112, 1.1936013900168087E7
10176, 1.1854944686244722E7
10240, 1.1877807059871571E7
10304, 1.1952043353995768E7
10368, 1.1923052154153287E7
10432, 1.19454393888039E7
10496, 1.045493302308532E7
10560, 1.1888785812715597E7
10624, 1.1861061243446495E7
10688, 1.1689050264665995E7
10752, 1.1904867354621552E7
10816, 1.0462533759470062E7
10880, 1.1947851143831044E7
10944, 1.1920425928669147E7
11008, 1.0459503629660599E7
